station,valid,lat,lon,elevation,tmpf,dwpf,relh,drct,sknt,feel
3K3,2020-02-05T00:00:00.000000,37.9917,-101.7463,1005.7,25.2,13.5,60.86611,147.22223,11.611111,13.715555
19S,2019-01-09T12:00:00.000000,37.4969,-100.8329,892.57,29.255556,19.73889,67.53111,218.33333,6.5,21.962778
HQG,2019-06-01T18:00:00.000000,37.1631,-101.3705,956.52,77.55,60.383335,55.752224,162.22223,12.0,78.14167
HQG,2020-09-12T18:00:00.000000,37.1631,-101.3705,956.52,74.13333,50.377777,46.627777,232.77777,9.666667,73.524445
JHN,2019-09-30T00:00:00.000000,37.5782,-101.7304,1012.71,87.066666,65.87778,50.413334,169.44444,23.666666,89.10111
JHN,2019-07-08T00:00:00.000000,37.5782,-101.7304,1012.71,82.4,65.905556,58.02889,147.22223,12.166667,84.172226
LBL,2020-01-09T18:00:00.000000,37.0442,-100.9599,879.0,46.0,20.966667,38.93667,168.33333,7.5,43.905
LBL,2019-05-31T06:00:00.000000,37.0442,-100.9599,879.0,62.771427,51.4,67.20286,247.14285,12.285714,62.771427
JHN,2019-03-09T00:00:00.000000,37.5782,-101.7304,1012.71,52.694443,34.505554,50.252224,133.33333,16.055555,50.51389
EHA,2020-07-10T00:00:00.000000,37.0008,-101.88,1099.0,94.11667,68.04444,43.13222,74.44444,13.611111,98.805
19S,2019-02-13T18:00:00.000000,37.4969,-100.8329,892.57,41.783333,15.15,34.169445,209.44444,7.2777777,37.172222
HQG,2018-09-18T00:00:00.000000,37.1631,-101.3705,956.52,88.183334,54.88889,33.717777,187.77777,10.722222,86.64
19S,2018-05-03T00:00:00.000000,37.4969,-100.8329,892.57,67.45,50.572224,55.017776,158.33333,7.0555553,67.433334
3K3,2018-10-18T00:00:00.000000,37.9917,-101.7463,1005.7,57.7,36.8,47.341667,130.55556,6.3333335,57.400555
HQG,2018-03-24T06:00:00.000000,37.1631,-101.3705,956.52,55.27778,35.56111,50.92389,316.1111,10.666667,54.135
JHN,2019-03-15T00:00:00.000000,37.5782,-101.7304,1012.71,40.394444,15.761111,36.989445,331.66666,20.833334,30.464445
EHA,2018-03-01T00:00:00.000000,37.0008,-101.88,1099.0,56.455555,27.994444,34.13778,23.333334,13.055555,55.477222
HQG,2019-06-13T12:00:00.000000,37.1631,-101.3705,956.52,57.77222,52.13889,81.922226,157.22223,7.0,57.77778
HQG,2020-08-11T18:00:00.000000,37.1631,-101.3705,956.52,80.977776,63.794445,57.314445,170.55556,6.611111,81.96778
EHA,2019-10-27T12:00:00.000000,37.0008,-101.88,1099.0,39.077778,32.9,78.342224,263.8889,17.166666,29.365
EHA,2020-08-08T12:00:00.000000,37.0008,-101.88,1099.0,72.55,60.255554,65.488335,228.88889,9.777778,72.55
LBL,2020-11-20T06:00:00.000000,37.0442,-100.9599,879.0,52.5,33.316666,48.446667,83.333336,13.5,51.585
LBL,2018-12-22T18:00:00.000000,37.0442,-100.9599,879.0,42.816666,23.333334,48.988335,154.0,6.3333335,39.05
